sample_id,tissue,true_proportion,predicted_proportion,absolute_error
Mixture_0,Adipocytes,0.000000,0.026088,0.026088
Mixture_0,Aorta,0.000000,0.000000,0.000000
Mixture_0,Bladder,0.000000,0.000000,0.000000
Mixture_0,Blood,0.000000,0.062943,0.062943
Mixture_0,Bone,0.000000,0.029230,0.029230
Mixture_0,Cerebellum,0.387110,0.135705,0.251405
Mixture_0,Colon,0.268094,0.261891,0.006203
Mixture_0,Coronary,0.000000,0.000000,0.000000
Mixture_0,Cortex,0.000000,0.057772,0.057772
Mixture_0,Dermal,0.000000,0.032920,0.032920
Mixture_0,Epidermal,0.344796,0.251119,0.093677
Mixture_0,Gastric,0.000000,0.029683,0.029683
Mixture_0,Heart,0.000000,0.036348,0.036348
Mixture_0,Kidney,0.000000,0.000000,0.000000
Mixture_0,Liver,0.000000,0.000000,0.000000
Mixture_0,Lung,0.000000,0.023248,0.023248
Mixture_0,Neuron,0.000000,0.000000,0.000000
Mixture_0,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_0,Pancreas,0.000000,0.000000,0.000000
Mixture_0,Prostate,0.000000,0.053054,0.053054
Mixture_0,Skeletal,0.000000,0.000000,0.000000
Mixture_0,Small,0.000000,0.000000,0.000000
Mixture_1,Adipocytes,0.000000,0.000000,0.000000
Mixture_1,Aorta,0.086733,0.051190,0.035543
Mixture_1,Bladder,0.000000,0.000000,0.000000
Mixture_1,Blood,0.000000,0.024480,0.024480
Mixture_1,Bone,0.245734,0.209233,0.036501
Mixture_1,Cerebellum,0.000000,0.000000,0.000000
Mixture_1,Colon,0.000000,0.029518,0.029518
Mixture_1,Coronary,0.327825,0.235853,0.091972
Mixture_1,Cortex,0.000000,0.029964,0.029964
Mixture_1,Dermal,0.000000,0.000000,0.000000
Mixture_1,Epidermal,0.000000,0.000000,0.000000
Mixture_1,Gastric,0.000000,0.000000,0.000000
Mixture_1,Heart,0.000000,0.035698,0.035698
Mixture_1,Kidney,0.000000,0.000000,0.000000
Mixture_1,Liver,0.339708,0.310011,0.029697
Mixture_1,Lung,0.000000,0.045036,0.045036
Mixture_1,Neuron,0.000000,0.000000,0.000000
Mixture_1,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_1,Pancreas,0.000000,0.029017,0.029017
Mixture_1,Prostate,0.000000,0.000000,0.000000
Mixture_1,Skeletal,0.000000,0.000000,0.000000
Mixture_1,Small,0.000000,0.000000,0.000000
Mixture_10,Adipocytes,0.000000,0.027757,0.027757
Mixture_10,Aorta,0.000000,0.000000,0.000000
Mixture_10,Bladder,0.000000,0.029034,0.029034
Mixture_10,Blood,0.000000,0.064127,0.064127
Mixture_10,Bone,0.000000,0.049666,0.049666
Mixture_10,Cerebellum,0.258689,0.058164,0.200525
Mixture_10,Colon,0.308237,0.201425,0.106811
Mixture_10,Coronary,0.000000,0.000000,0.000000
Mixture_10,Cortex,0.000000,0.062428,0.062428
Mixture_10,Dermal,0.208902,0.111045,0.097857
Mixture_10,Epidermal,0.000000,0.029724,0.029724
Mixture_10,Gastric,0.136568,0.060139,0.076429
Mixture_10,Heart,0.000000,0.000000,0.000000
Mixture_10,Kidney,0.087604,0.062652,0.024952
Mixture_10,Liver,0.000000,0.086943,0.086943
Mixture_10,Lung,0.000000,0.095820,0.095820
Mixture_10,Neuron,0.000000,0.030993,0.030993
Mixture_10,Oligodendrocytes,0.000000,0.030084,0.030084
Mixture_10,Pancreas,0.000000,0.000000,0.000000
Mixture_10,Prostate,0.000000,0.000000,0.000000
Mixture_10,Skeletal,0.000000,0.000000,0.000000
Mixture_10,Small,0.000000,0.000000,0.000000
Mixture_100,Adipocytes,0.213305,0.175487,0.037818
Mixture_100,Aorta,0.000000,0.000000,0.000000
Mixture_100,Bladder,0.000000,0.024579,0.024579
Mixture_100,Blood,0.295014,0.143980,0.151034
Mixture_100,Bone,0.000000,0.038230,0.038230
Mixture_100,Cerebellum,0.000000,0.000000,0.000000
Mixture_100,Colon,0.000000,0.000000,0.000000
Mixture_100,Coronary,0.000000,0.000000,0.000000
Mixture_100,Cortex,0.000000,0.030611,0.030611
Mixture_100,Dermal,0.000000,0.000000,0.000000
